fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,alkalinity,e330.level,effervescence.index,consumable,quality
7.4,0.25,0.49,1.1,0.042,35,156,0.9917,3.13,0.55,11.3,48.7,0.49,14102.69273,4,0
6.9,0.23,0.24,14.2,0.053,19,94,0.9982,3.17,0.5,9.6,48.3,0.24,14030.32891,4,0
8.5,0.56,0.74,17.85,0.051,51,243,1.0005,2.99,0.7,9.2,50.1,0.74,2809.65362,4,0
8.2,0.18,0.49,1.1,0.033,28,81,0.9923,3,0.68,10.4,50,0.49,6479.51162,4,1
6.3,0.23,0.49,7.1,0.05,67,210,0.9951,3.23,0.34,9.5,47.7,0.49,14489.01821,4,0
6.1,0.25,0.49,7.6,0.052,67,226,0.9956,3.16,0.47,8.9,48.4,0.49,3798.144642,4,0
7.2,0.26,0.74,13.6,0.05,56,162,0.998,3.03,0.44,8.8,49.7,0.74,14005.78953,4,0
7.2,0.31,0.24,1.4,0.057,17,117,0.9928,3.16,0.35,10.5,48.4,0.24,349.9627183,4,0
8,0.25,0.49,1.2,0.061,27,117,0.9938,3.08,0.34,9.4,49.2,0.49,7402.564347,4,0
7,0.18,0.49,5.3,0.04,34,125,0.9914,3.24,0.4,12.2,47.6,0.49,14304.67992,4,1
7.8,0.43,0.49,13,0.033,37,158,0.9955,3.14,0.35,11.3,48.6,0.49,13121.71603,4,1
8.3,0.2,0.74,4.45,0.044,33,130,0.9924,3.25,0.42,12.2,47.5,0.74,10969.91278,4,1
6.3,0.27,0.49,1.2,0.063,35,92,0.9911,3.38,0.42,12.2,46.2,0.49,4755.195814,4,1
7.4,0.16,0.49,1.2,0.055,18,150,0.9917,3.23,0.47,11.2,47.7,0.49,4269.284941,4,1
7.4,0.16,0.49,1.2,0.055,18,150,0.9917,3.23,0.47,11.2,47.7,0.49,1649.626625,4,1
6.9,0.19,0.49,6.6,0.036,49,172,0.9932,3.2,0.27,11.5,48,0.49,7096.722542,4,1
7.8,0.43,0.49,13,0.033,37,158,0.9955,3.14,0.35,11.3,48.6,0.49,10337.70204,4,1
7.2,0.4,0.49,1.1,0.048,11,138,0.9929,3.01,0.42,9.3,49.9,0.49,811.3807039,4,0
7.8,0.43,0.49,13,0.033,37,158,0.9955,3.14,0.35,11.3,48.6,0.49,9036.913683,4,1
7.6,0.52,0.49,14,0.034,37,156,0.9958,3.14,0.38,11.8,48.6,0.49,3688.866998,4,1
8.3,0.21,0.49,19.8,0.054,50,231,1.0012,2.99,0.54,9.2,50.1,0.49,6457.761365,4,0
6.9,0.34,0.74,11.2,0.069,44,150,0.9968,3,0.81,9.2,50,0.74,1184.107636,4,0
6.3,0.27,0.49,1.2,0.063,35,92,0.9911,3.38,0.42,12.2,46.2,0.49,6922.262061,4,1
8.3,0.2,0.74,4.45,0.044,33,130,0.9924,3.25,0.42,12.2,47.5,0.74,2657.906828,4,1
7.1,0.22,0.74,2.7,0.044,42,144,0.991,3.31,0.41,12.2,46.9,0.74,7007.951531,4,1
7.9,0.11,0.49,4.5,0.048,27,133,0.9946,3.24,0.42,10.6,47.6,0.49,588.4047586,4,1
8.5,0.17,0.74,3.6,0.05,29,128,0.9928,3.28,0.4,12.4,47.2,0.74,7722.858328,4,1
6.4,0.145,0.49,5.4,0.048,54,164,0.9946,3.56,0.44,10.8,44.4,0.49,9342.538803,4,1
7.4,0.16,0.49,1.2,0.055,18,150,0.9917,3.23,0.47,11.2,47.7,0.49,9875.035196,4,1
8.3,0.19,0.49,1.2,0.051,11,137,0.9918,3.06,0.46,11,49.4,0.49,9480.45734,4,1
8,0.44,0.49,9.1,0.031,46,151,0.9926,3.16,0.27,12.7,48.4,0.49,3040.091485,4,1
7,0.2,0.74,0.8,0.044,19,163,0.9931,3.46,0.53,10.2,45.4,0.74,5263.658333,4,0
6.9,0.19,0.49,6.6,0.036,49,172,0.9932,3.2,0.27,11.5,48,0.49,3237.485602,4,1
7.1,0.25,0.49,3,0.03,30,96,0.9903,3.13,0.39,12.3,48.7,0.49,13038.37045,4,1
6.5,0.24,0.24,1.6,0.046,15,60,0.9928,3.19,0.39,9.8,48.1,0.24,1408.738827,4,0
7.2,0.4,0.49,1.1,0.048,11,138,0.9929,3.01,0.42,9.3,49.9,0.49,11269.15984,4,0
7.6,0.52,0.49,14,0.034,37,156,0.9958,3.14,0.38,11.8,48.6,0.49,5527.709654,4,1
7.8,0.43,0.49,13,0.033,37,158,0.9955,3.14,0.35,11.3,48.6,0.49,7050.613122,4,1
7.8,0.21,0.49,1.35,0.052,6,48,0.9911,3.15,0.28,11.4,48.5,0.49,66.00034343,4,0
7,0.2,0.49,5.9,0.038,39,128,0.9938,3.21,0.48,10.8,47.9,0.49,8570.772364,4,1
6.9,0.25,0.24,3.6,0.057,13,85,0.9942,2.99,0.48,9.5,50.1,0.24,2658.670905,4,0
7.2,0.08,0.49,1.3,0.05,18,148,0.9945,3.46,0.44,10.2,45.4,0.49,8429.208418,4,1
7.1,0.85,0.49,8.7,0.028,40,184,0.9962,3.22,0.36,10.7,47.8,0.49,11661.8574,4,0
7.6,0.51,0.24,1.2,0.04,10,104,0.992,3.05,0.29,10.8,49.5,0.24,13412.51999,4,1
7.9,0.22,0.24,4.6,0.044,39,159,0.9927,2.99,0.28,11.5,50.1,0.24,8531.605633,4,1
7.7,0.16,0.49,2,0.056,20,124,0.9948,3.32,0.49,10.7,46.8,0.49,4834.817788,4,1
7.2,0.08,0.49,1.3,0.05,18,148,0.9945,3.46,0.44,10.2,45.4,0.49,4171.101079,4,1
6.6,0.25,0.24,1.7,0.048,26,124,0.9942,3.37,0.6,10.1,46.3,0.24,14191.45356,4,1
6.7,0.16,0.49,2.4,0.046,57,187,0.9952,3.62,0.81,10.4,43.8,0.49,10852.26643,4,1
6.9,0.25,0.24,3.6,0.057,13,85,0.9942,2.99,0.48,9.5,50.1,0.24,11528.80109,4,0
7.5,0.32,0.24,4.6,0.053,8,134,0.9958,3.14,0.5,9.1,48.6,0.24,699.9964217,4,0
7.4,0.28,0.49,1.5,0.034,20,126,0.9918,2.98,0.39,10.6,50.2,0.49,12776.11125,4,1
6.2,0.15,0.49,0.9,0.033,17,51,0.9932,3.3,0.7,9.4,47,0.49,13887.62228,4,1
6.7,0.25,0.74,19.4,0.054,44,169,1.0004,3.51,0.45,9.8,44.9,0.74,9539.018386,4,1
6.5,0.26,0.74,13.3,0.044,68,224,0.9972,3.18,0.54,9.5,48.2,0.74,5406.906246,4,1
7.9,0.16,0.74,17.85,0.037,52,187,0.9998,2.99,0.41,9.3,50.1,0.74,9536.710793,4,0
5.6,0.185,0.49,1.1,0.03,28,117,0.9918,3.55,0.45,10.3,44.5,0.49,12993.18087,4,1
7.5,0.2,0.49,1.3,0.031,8,97,0.9918,3.06,0.62,11.1,49.4,0.49,2541.559932,4,0
8,0.3,0.49,9.4,0.046,47,188,0.9964,3.14,0.48,10,48.6,0.49,2376.329501,4,0
8,0.34,0.49,9,0.033,39,180,0.9936,3.13,0.38,12.3,48.7,0.49,9213.389323,4,1
7.7,0.35,0.49,8.65,0.033,42,186,0.9931,3.14,0.38,12.4,48.6,0.49,2533.101683,4,1
7.6,0.29,0.49,9.6,0.03,45,197,0.9938,3.13,0.38,12.3,48.7,0.49,10519.77794,4,1
6.7,0.62,0.24,1.1,0.039,6,62,0.9934,3.41,0.32,10.4,45.9,0.24,5999.659059,4,0
6.8,0.27,0.49,1.2,0.044,35,126,0.99,3.13,0.48,12.1,48.7,0.49,12204.85593,4,1
7.7,0.27,0.49,1.8,0.041,23,86,0.9914,3.16,0.42,12.5,48.4,0.49,9200.99779,4,1
6.7,0.51,0.24,2.1,0.043,14,155,0.9904,3.22,0.6,13,47.8,0.24,1264.917837,4,1
7.4,0.19,0.49,9.3,0.03,26,132,0.994,2.99,0.32,11,50.1,0.49,14223.59953,4,1
8.3,0.2,0.49,1.7,0.04,34,169,0.9938,3.05,0.37,10.1,49.5,0.49,3159.627525,4,0
6.6,0.3,0.24,1.2,0.034,17,121,0.9933,3.13,0.36,9.2,48.7,0.24,1728.824841,4,0
6.8,0.36,0.24,4.6,0.039,24,124,0.9909,3.27,0.34,12.6,47.3,0.24,6129.334353,4,1
7,0.17,0.74,12.8,0.045,24,126,0.9942,3.26,0.38,12.2,47.4,0.74,14928.53687,4,1
9.2,0.18,0.49,1.5,0.041,39,130,0.9945,3.04,0.49,9.8,49.6,0.49,5895.577841,4,1
8.1,0.2,0.49,8.1,0.051,51,205,0.9954,3.1,0.52,11,49,0.49,544.4968591,4,1
7.8,0.26,0.74,7.5,0.044,59,160,0.996,3.22,0.64,10,47.8,0.74,14133.69479,4,1
6.8,0.21,0.49,14.5,0.06,50,170,0.9991,3.55,0.44,9.8,44.5,0.49,5694.278986,4,1
7.9,0.2,0.49,1.6,0.053,15,144,0.993,3.16,0.47,10.5,48.4,0.49,10660.82638,4,0
8,0.18,0.49,1.8,0.061,10,145,0.9942,3.23,0.48,10,47.7,0.49,12105.85815,4,0
8.8,0.23,0.74,3.2,0.042,15,126,0.9934,3.02,0.51,11.2,49.8,0.74,13563.76927,4,1
7.3,0.22,0.49,9.4,0.034,29,134,0.9939,2.99,0.32,11,50.1,0.49,13299.44899,4,1
7.3,0.22,0.49,9.9,0.031,48,161,0.9937,3.01,0.28,11.2,49.9,0.49,1580.056624,4,1
7.4,0.19,0.49,9.3,0.03,26,132,0.994,2.99,0.32,11,50.1,0.49,2399.383203,4,1
7.3,0.155,0.49,1.3,0.039,34,136,0.9926,3.14,0.77,10.5,48.6,0.49,7570.314106,4,1
8.2,0.22,0.49,9.6,0.037,53,154,0.9951,3.02,0.33,10.6,49.8,0.49,11483.43266,4,1
8.2,0.24,0.49,9.3,0.038,52,163,0.9952,3.02,0.33,10.6,49.8,0.49,8805.151199,4,1
8.4,0.23,0.49,7.8,0.035,22,95,0.9935,3.04,0.34,12,49.6,0.49,7446.472193,4,1
8.3,0.2,0.49,1.7,0.04,34,169,0.9938,3.05,0.37,10.1,49.5,0.49,10007.26117,4,0
8.3,0.2,0.49,1.7,0.038,38,167,0.9939,3.05,0.37,10.1,49.5,0.49,3776.14533,4,1
6.6,0.3,0.24,1.2,0.034,17,121,0.9933,3.13,0.36,9.2,48.7,0.24,11407.59115,4,0
6.9,0.21,0.49,1.4,0.041,15,164,0.9927,3.25,0.63,11,47.5,0.49,608.4465496,4,0
8,0.25,0.49,9,0.044,31,185,0.998,3.34,0.49,10,46.6,0.49,14808.83175,4,1
6.6,0.21,0.49,18.15,0.042,41,158,0.9997,3.28,0.39,8.7,47.2,0.49,12571.00456,4,1
7.2,0.27,0.74,12.5,0.037,47,156,0.9981,3.04,0.44,8.7,49.6,0.74,13412.36616,4,0
14.2,0.27,0.49,1.1,0.037,33,156,0.992,3.15,0.54,11.1,48.5,0.49,7023.345868,4,1
7.9,0.28,0.49,7.7,0.045,48,195,0.9954,3.04,0.55,11,49.6,0.49,11615.38667,4,1
7.4,0.27,0.49,1.1,0.037,33,156,0.992,3.15,0.54,11.1,48.5,0.49,6080.358501,4,1
6.6,0.21,0.49,18.15,0.042,41,158,0.9997,3.28,0.39,8.7,47.2,0.49,11579.20499,4,1
7.2,0.27,0.74,12.5,0.037,47,156,0.9981,3.04,0.44,8.7,49.6,0.74,9643.367811,4,0
8.1,0.3,0.49,8.1,0.037,26,174,0.9943,3.1,0.3,11.2,49,0.49,7110.753436,4,1
7.5,0.23,0.49,7.7,0.049,61,209,0.9941,3.14,0.3,11.1,48.6,0.49,1370.24177,4,1
7.3,0.26,0.49,5,0.028,32,107,0.9936,3.24,0.54,10.8,47.6,0.49,14586.73039,4,1
7.1,0.18,0.74,15.6,0.044,44,176,0.9996,3.38,0.67,9,46.2,0.74,14071.28096,4,1
8.5,0.15,0.49,1.5,0.031,17,122,0.9932,3.03,0.4,10.3,49.7,0.49,5630.442273,4,1
8.9,0.13,0.49,1,0.028,6,24,0.9926,2.91,0.32,9.9,50.9,0.49,14322.69091,4,0
8.1,0.28,0.49,1,0.04,32,148,0.9936,3.13,0.41,10,48.7,0.49,4168.703655,4,1
6,0.17,0.49,1,0.034,26,106,0.992,3.21,0.42,9.8,47.9,0.49,5717.393887,4,1
7.3,0.26,0.49,5,0.028,32,107,0.9936,3.24,0.54,10.8,47.6,0.49,4040.603712,4,1
7.1,0.18,0.74,15.6,0.044,44,176,0.9996,3.38,0.67,9,46.2,0.74,1118.977963,4,1
7.1,0.53,0.24,0.8,0.029,29,86,0.993,3.16,0.32,9.1,48.4,0.24,9488.830177,4,0
7.2,0.16,0.49,1.3,0.037,27,104,0.9924,3.23,0.57,10.6,47.7,0.49,7715.640033,4,1
7.3,0.14,0.49,1.1,0.038,28,99,0.9928,3.2,0.72,10.6,48,0.49,9671.752578,4,1
8.9,0.13,0.49,1,0.028,6,24,0.9926,2.91,0.32,9.9,50.9,0.49,10675.97507,4,0
7.9,0.12,0.49,5.2,0.049,33,152,0.9952,3.18,0.47,10.6,48.2,0.49,6621.644899,4,1
6.7,0.29,0.49,4.7,0.034,35,156,0.9945,3.13,0.45,9.9,48.7,0.49,6548.095925,4,1
6.7,0.3,0.49,4.8,0.034,36,158,0.9945,3.12,0.45,9.9,48.8,0.49,1219.214915,4,1
7.1,0.36,0.24,1.8,0.025,32,102,0.9903,3.34,0.59,12.8,46.6,0.24,8400.496447,4,1
8.5,0.15,0.49,1.5,0.031,17,122,0.9932,3.03,0.4,10.3,49.7,0.49,431.80913,4,1
7.9,0.18,0.49,5.2,0.051,36,157,0.9953,3.18,0.48,10.6,48.2,0.49,14431.73086,4,1
6.6,0.19,0.99,1.2,0.122,45,129,0.9936,3.09,0.31,8.7,49.1,0.99,10993.93619,4,1
7.3,0.21,0.49,1.8,0.038,44,152,0.9912,3.32,0.44,12.6,46.8,0.49,13652.81636,4,1
6.9,0.3,0.49,7.6,0.057,25,156,0.9962,3.43,0.63,11,45.7,0.49,11412.69903,4,1
7.9,0.42,0.49,8.2,0.056,32,164,0.9965,3.29,0.6,11.2,47.1,0.49,3219.433514,4,1
6.9,0.24,0.49,1.3,0.032,35,148,0.9932,3.45,0.57,10.7,45.5,0.49,2722.712354,4,1
7.6,0.23,0.49,10,0.036,45,182,0.9967,3.08,0.58,9.6,49.2,0.49,11430.68724,4,1
7.9,0.18,0.49,5.2,0.051,36,157,0.9953,3.18,0.48,10.6,48.2,0.49,10157.47357,4,1
6.2,0.43,0.49,6.4,0.045,12,115,0.9963,3.27,0.57,9,47.3,0.49,3859.354143,4,0
8.8,0.35,0.49,1,0.036,14,56,0.992,2.96,0.33,10.5,50.4,0.49,7256.096893,4,0
7.8,0.3,0.74,1.8,0.033,33,156,0.991,3.29,0.52,12.8,47.1,0.74,7999.046592,4,1
9.1,0.28,0.49,2,0.059,10,112,0.9958,3.15,0.46,10.1,48.5,0.49,7091.863911,4,0
7.1,0.34,0.49,1.5,0.027,26,126,0.99,3.3,0.33,12.2,47,0.49,8342.339717,4,1
7.8,0.3,0.74,1.8,0.033,33,156,0.991,3.29,0.52,12.8,47.1,0.74,14045.15259,4,1
9.1,0.28,0.49,2,0.059,10,112,0.9958,3.15,0.46,10.1,48.5,0.49,498.2203835,4,0
8.5,0.19,0.49,3.5,0.044,29,117,0.9938,3.14,0.51,10.1,48.6,0.49,4897.733132,4,1
7.6,0.18,0.49,18.05,0.046,36,158,0.9996,3.06,0.41,9.2,49.4,0.49,2546.733238,4,0
7.5,0.19,0.49,1.8,0.055,19,110,0.9946,3.33,0.44,9.9,46.7,0.49,14094.90748,4,0
7.4,0.3,0.49,8.2,0.055,49,188,0.9974,3.52,0.58,9.7,44.8,0.49,11964.79591,4,1
6.7,0.3,0.74,5,0.038,35,157,0.9945,3.21,0.46,9.9,47.9,0.74,5700.001728,4,0
6.6,0.3,0.74,4.6,0.041,36,159,0.9946,3.21,0.45,9.9,47.9,0.74,8463.051077,4,0
7.4,0.3,0.49,8.2,0.055,49,188,0.9974,3.52,0.58,9.7,44.8,0.49,5292.796592,4,1
6.9,0.22,0.49,7,0.063,50,168,0.9957,3.54,0.5,10.3,44.6,0.49,10694.45286,4,1
7.8,0.26,0.49,3.1,0.045,21,116,0.9931,3.16,0.35,10.3,48.4,0.49,9576.852436,4,0
8.5,0.17,0.49,8.8,0.048,23,108,0.9947,2.88,0.34,10.5,51.2,0.49,12948.04492,4,0
6.8,0.17,0.74,2.4,0.053,61,182,0.9953,3.63,0.76,10.5,43.7,0.74,13544.55877,4,1
6.2,0.27,0.49,1.4,0.05,20,74,0.9931,3.32,0.44,9.8,46.8,0.49,1464.91422,4,1
7.1,0.64,0.49,1.8,0.05,17,128,0.9946,3.31,0.58,10.6,46.9,0.49,10284.16895,4,0
6.4,0.18,0.74,11.9,0.046,54,168,0.9978,3.58,0.68,10.1,44.2,0.74,2418.394285,4,0
7.6,0.31,0.49,13.4,0.062,50,191,0.9989,3.22,0.53,9,47.8,0.49,8027.975917,4,0
9.8,0.31,0.49,15.4,0.046,13,119,1.0004,3.18,0.45,9.5,48.2,0.49,819.7888842,4,0
9,0.3,0.49,7.2,0.039,32,84,0.9938,2.94,0.32,11.5,50.6,0.49,13259.97762,4,1
8.4,0.24,0.49,7.4,0.039,46,108,0.9934,3.03,0.33,11.9,49.7,0.49,3748.770232,4,1
6.4,0.18,0.74,11.9,0.046,54,168,0.9978,3.58,0.68,10.1,44.2,0.74,1096.537395,4,0
6.4,0.25,0.74,7.8,0.045,52,209,0.9956,3.21,0.42,9.2,47.9,0.74,14390.45014,4,1
7.3,0.3,0.74,13.5,0.039,46,165,0.9982,3.02,0.4,8.7,49.8,0.74,9993.20959,4,0
9.3,0.31,0.49,1.3,0.042,34,147,0.9948,3.11,0.46,9.8,48.9,0.49,11087.25486,4,0
6.4,0.25,0.74,7.8,0.045,52,209,0.9956,3.21,0.42,9.2,47.9,0.74,2930.524827,4,1
7.3,0.3,0.74,13.5,0.039,46,165,0.9982,3.02,0.4,8.7,49.8,0.74,6103.209786,4,0
7,0.27,0.74,1.5,0.036,27,122,0.9926,3.35,0.48,11.2,46.5,0.74,1703.409756,4,1
7.9,0.14,0.74,1.2,0.028,30,165,0.991,3.08,0.82,12.3,49.2,0.74,1343.084615,4,1
6.4,0.12,0.49,6.4,0.042,49,161,0.9945,3.34,0.44,10.4,46.6,0.49,7942.206405,4,1
6.8,0.21,0.74,1.2,0.047,25,111,0.9916,3.13,0.41,10.7,48.7,0.74,12082.91242,4,1
8.6,0.16,0.49,7.3,0.043,9,63,0.9953,3.13,0.59,10.5,48.7,0.49,3984.074019,4,1
7,0.29,0.49,3.8,0.047,37,136,0.9938,2.95,0.4,9.4,50.5,0.49,7737.442985,4,1
6.4,0.27,0.49,7.3,0.046,53,206,0.9956,3.24,0.43,9.2,47.6,0.49,9194.750026,4,1
6.6,0.55,0.01,2.7,0.034,56,122,0.9906,3.15,0.3,11.9,48.5,0.01,1121.696889,4,0
6.4,0.27,0.49,7.3,0.046,53,206,0.9956,3.24,0.43,9.2,47.6,0.49,7612.091969,4,1
6.3,0.24,0.74,1.4,0.172,24,108,0.9932,3.27,0.39,9.9,47.3,0.74,1037.502638,4,1
6.7,0.33,0.49,1.6,0.167,20,94,0.9914,3.11,0.5,11.4,48.9,0.49,8691.152382,4,1
7,0.29,0.49,3.8,0.047,37,136,0.9938,2.95,0.4,9.4,50.5,0.49,8733.031421,4,1
8.2,0.34,0.49,8,0.046,55,223,0.996,3.08,0.52,10.7,49.2,0.49,14119.3421,4,1
5.6,0.39,0.24,4.7,0.034,27,77,0.9906,3.28,0.36,12.7,47.2,0.24,6917.17484,4,0
5.6,0.41,0.24,1.9,0.034,10,53,0.98815,3.32,0.5,13.5,46.8,0.24,10329.90078,4,1
6.7,0.41,0.01,2.8,0.048,39,137,0.9942,3.24,0.35,9.5,47.6,0.01,8056.259244,4,0
7.1,0.26,0.49,2.2,0.032,31,113,0.9903,3.37,0.42,12.9,46.3,0.49,12959.77943,4,1
7.5,0.32,0.49,1.7,0.031,44,109,0.9906,3.07,0.46,12.5,49.3,0.49,5305.003156,4,1
5.8,0.19,0.49,4.9,0.04,44,118,0.9935,3.34,0.38,9.5,46.6,0.49,3608.273605,4,1
6.9,0.27,0.49,23.5,0.057,59,235,1.0024,2.98,0.47,8.6,50.2,0.49,8215.737108,4,0
8.1,0.2,0.49,11.8,0.048,46,212,0.9968,3.09,0.46,10,49.1,0.49,5186.409547,4,1
7.5,0.32,0.49,1.7,0.031,44,109,0.9906,3.07,0.46,12.5,49.3,0.49,13590.39181,4,1
8.2,0.26,0.49,5.2,0.04,19,100,0.9941,3.12,0.34,10.1,48.8,0.49,14782.11231,4,1
7.8,0.26,0.49,3.2,0.027,28,87,0.9919,3.03,0.32,11.3,49.7,0.49,14171.29382,4,1
8,0.14,0.49,1.5,0.035,42,120,0.9928,3.26,0.4,10.6,47.4,0.49,6477.362349,4,1
8,0.29,0.49,11.7,0.035,40,131,0.9958,3.14,0.34,10.8,48.6,0.49,5163.844655,4,0
7.5,0.19,0.49,1.6,0.047,42,140,0.9932,3.4,0.47,10.7,46,0.49,13162.57096,4,1
6.9,0.34,0.49,7.3,0.045,61,206,0.9957,3.09,0.4,9,49.1,0.49,11623.07636,4,1
6.2,0.2,0.49,1.6,0.065,17,143,0.9937,3.22,0.52,9.2,47.8,0.49,10118.81123,4,1
6.4,0.37,0.49,13.3,0.045,53,243,0.9982,3.14,0.48,8.5,48.6,0.49,2965.131082,4,1
6.2,0.22,0.49,6,0.029,31,128,0.9928,3.41,0.36,11.3,45.9,0.49,13545.79111,4,1
7.8,0.26,0.49,3.2,0.027,28,87,0.9919,3.03,0.32,11.3,49.7,0.49,1153.988684,4,1
8.9,0.32,0.49,1.6,0.05,17,131,0.9956,3.13,0.34,9.4,48.7,0.49,8164.809144,4,0
6.5,0.44,0.49,7.7,0.045,16,169,0.9957,3.11,0.37,8.7,48.9,0.49,9505.297497,4,1
7,0.14,0.49,5.9,0.053,22,118,0.9954,3.36,0.36,9.4,46.4,0.49,11430.61766,4,1
9,0.17,0.49,1,0.039,46,131,0.993,3.09,0.51,10.5,49.1,0.49,2506.783413,4,1
6.4,0.26,0.49,6.4,0.037,37,161,0.9954,3.38,0.53,9.7,46.2,0.49,11450.15158,4,1
9,0.22,0.49,10.4,0.048,52,195,0.9987,3.31,0.44,10.2,46.9,0.49,214.1713458,4,1
8.9,0.32,0.49,1.6,0.05,17,131,0.9956,3.13,0.34,9.4,48.7,0.49,5682.40881,4,0
8.2,0.2,0.49,3.5,0.057,14,108,0.9928,3.19,0.35,11.5,48.1,0.49,2700.490944,4,1
7.8,0.15,0.24,7.7,0.047,21,98,0.9951,2.94,0.31,9.6,50.6,0.24,11432.19679,4,1
6.9,0.25,0.24,1.8,0.053,6,121,0.993,3.23,0.7,11.4,47.7,0.24,5944.508242,4,0
8.2,0.2,0.49,3.5,0.057,14,108,0.9928,3.19,0.35,11.5,48.1,0.49,8647.67018,4,1
7.1,0.28,0.49,6.5,0.041,28,111,0.9926,3.41,0.58,12.2,45.9,0.49,592.2280017,4,1
7.4,0.19,0.49,6.7,0.037,15,110,0.9938,3.2,0.38,11,48,0.49,3981.106385,4,1
8.3,0.25,0.49,16.8,0.048,50,228,1.0001,3.03,0.52,9.2,49.7,0.49,3037.169759,4,1
7.5,0.14,0.74,1.6,0.035,21,126,0.9933,3.26,0.45,10.2,47.4,0.74,11414.67328,4,1
7.8,0.49,0.49,7,0.043,29,149,0.9952,3.21,0.33,10,47.9,0.49,5485.561881,4,0
8.1,0.12,0.49,1.2,0.042,43,160,0.9934,3.13,0.48,9.7,48.7,0.49,7225.303174,4,1
7.6,0.47,0.49,13,0.239,42,220,0.9988,2.96,0.51,9.2,50.4,0.49,10518.71193,4,0
7.9,0.22,0.49,3.8,0.042,26,105,0.993,3.1,0.39,10.5,49,0.49,1949.394451,4,0
7.8,0.49,0.49,7,0.043,29,149,0.9952,3.21,0.33,10,47.9,0.49,8475.452886,4,0
6.4,0.22,0.49,7.5,0.054,42,151,0.9948,3.27,0.52,10.1,47.3,0.49,7389.967915,4,1
7.3,0.19,0.49,15.55,0.058,50,134,0.9998,3.42,0.36,9.1,45.8,0.49,3763.508045,4,1
8.1,0.3,0.49,12.3,0.049,50,144,0.9971,3.09,0.57,10.2,49.1,0.49,11214.05013,4,1
7.3,0.19,0.49,15.55,0.058,50,134,0.9998,3.42,0.36,9.1,45.8,0.49,7402.431779,4,1
7.5,0.24,0.49,9.4,0.048,50,149,0.9962,3.17,0.59,10.5,48.3,0.49,3241.223811,4,1
6.4,0.22,0.49,7.5,0.054,42,151,0.9948,3.27,0.52,10.1,47.3,0.49,7307.018566,4,1
7.8,0.21,0.49,1.2,0.036,20,99,0.99,3.05,0.28,12.1,49.5,0.49,12097.17098,4,1
7.1,0.3,0.49,1.6,0.045,31,100,0.9942,3.4,0.59,10.2,46,0.49,9565.027206,4,0
6.9,0.26,0.49,1.6,0.058,39,166,0.9965,3.65,0.52,9.4,43.5,0.49,11267.20126,4,0
7.6,0.31,0.49,3.95,0.044,27,131,0.9912,3.08,0.67,12.8,49.2,0.49,11445.06963,4,1
6.4,0.42,0.74,12.8,0.076,48,209,0.9978,3.12,0.58,9,48.8,0.74,8049.597271,4,1
8.2,0.29,0.49,1,0.044,29,118,0.9928,3.24,0.36,10.9,47.6,0.49,10709.57703,4,0
7.9,0.33,0.28,31.6,0.053,35,176,1.0103,3.15,0.38,8.8,48.5,0.28,89.48309158,4,1
6.6,0.46,0.49,7.4,0.052,19,184,0.9956,3.11,0.38,9,48.9,0.49,2795.984431,4,0
7.8,0.28,0.49,1.3,0.046,27,142,0.9936,3.09,0.59,10.2,49.1,0.49,7729.952889,4,0
5.8,0.15,0.49,1.1,0.048,21,98,0.9929,3.19,0.48,9.2,48.1,0.49,14280.42786,4,0
7.8,0.4,0.49,7.8,0.06,34,162,0.9966,3.26,0.58,11.3,47.4,0.49,3804.481845,4,1
6.6,0.31,0.49,7.7,0.05,52,220,0.9964,3.12,0.45,8.8,48.8,0.49,8138.163685,4,0
6.6,0.325,0.49,7.7,0.049,53,217,0.996,3.16,0.4,9.3,48.4,0.49,8716.0853,4,0
6.6,0.27,0.49,7.8,0.049,62,217,0.9959,3.17,0.45,9.4,48.3,0.49,1471.13745,4,1
6.7,0.26,0.49,8.3,0.047,54,191,0.9954,3.23,0.4,10.3,47.7,0.49,10004.11383,4,1
6.7,0.21,0.49,1.4,0.047,30,114,0.9914,2.92,0.42,10.8,50.8,0.49,3565.193927,4,1
7.9,0.33,0.28,31.6,0.053,35,176,1.0103,3.15,0.38,8.8,48.5,0.28,2435.64104,4,1
8.1,0.28,0.46,15.4,0.059,32,177,1.0004,3.27,0.58,9,47.3,0.46,5268.671553,4,0
6.5,0.13,0.37,1,0.036,48,114,0.9911,3.41,0.51,11.5,45.9,0.37,14118.67902,4,1
7.8,0.445,0.56,1,0.04,8,84,0.9938,3.25,0.43,10.8,47.5,0.56,2323.815931,4,0
8.8,0.39,0.34,5.9,0.055,33,128,0.9927,2.95,0.51,11.8,50.5,0.34,8909.371213,4,1
7.9,0.18,0.33,1.2,0.033,20,72,0.9922,3.12,0.38,10.5,48.8,0.33,427.6924965,4,1
7.1,0.31,0.38,1.2,0.036,10,124,0.9924,3.14,0.44,9.9,48.6,0.38,12462.16597,4,1
7.8,0.24,0.18,6.7,0.046,33,160,0.9963,3.2,0.56,9.8,48,0.18,14617.06445,4,1
7,0.35,0.3,6.5,0.028,27,87,0.9936,3.4,0.42,11.4,46,0.3,13684.94788,4,1
6.6,0.26,0.31,4.8,0.138,41,168,0.9951,3.2,0.38,9.3,48,0.31,11150.91529,4,0
